                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2859,                 4.7782,                 1.3826,                      0,                      0,                      0,                      0,                 2.0758,                 5.5818,                 1.9766,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                 1.3612,                  4.938,                 1.4921,                      0,                      0,                      0,                      0,                 2.0758,                 5.5818,                 1.9766,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                 1.6646,                 5.0164,                 1.7034,                      0,                      0,                      0,                      0,                 2.0592,                 5.5893,                 1.9628,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                 1.1612,                 4.6962,                 1.3611,                      0,                      0,                      0,                      0,                 2.0592,                 5.5893,                 1.9628,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                 1.2033,                 4.6629,                 1.5447,                      0,                      0,                      0,                      0,                 2.0328,                 5.5822,                 1.9455,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                 1.5098,                 4.9625,                 1.5888,                      0,                      0,                      0,                      0,                 2.0328,                 5.5822,                 1.9455,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                 1.5603,                 4.7441,                 1.6603,                      0,                      0,                      0,                      0,                 2.0229,                 5.5299,                 1.9242,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                 1.3069,                 5.0235,                 1.4768,                      0,                      0,                      0,                      0,                 2.0229,                 5.5299,                 1.9242,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                 1.2425,                 4.6796,                 1.4925,                      0,                      0,                      0,                      0,                 2.0241,                 5.5454,                 1.9265,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                 1.1242,                 4.6399,                 1.3333,                      0,                      0,                      0,                      0,                 2.0241,                 5.5454,                 1.9265,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                 1.3174,                 4.8209,                  1.386,                      0,                      0,                      0,                      0,                 2.0459,                 5.5534,                 1.9355,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                 1.2554,                 4.6312,                 1.4314,                      0,                      0,                      0,                      0,                 2.0459,                 5.5534,                 1.9355,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                 1.2426,                 4.7871,                 1.3795,                      0,                      0,                      0,                      0,                 2.0278,                 5.5478,                   1.93,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                 1.3175,                 4.7333,                 1.5431,                      0,                      0,                      0,                      0,                 2.0278,                 5.5478,                   1.93,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                 1.0258,                 4.5998,                 1.3029,                      0,                      0,                      0,                      0,                 1.9896,                 5.5206,                 1.9024,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                 1.3973,                 4.8265,                 1.5219,                      0,                      0,                      0,                      0,                 1.9896,                 5.5206,                 1.9024,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                  1.243,                 4.8817,                 1.5059,                      0,                      0,                      0,                      0,                      2,                 5.4901,                 1.9007,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                 1.7876,                 4.7869,                 1.9729,                      0,                      0,                      0,                      0,                      2,                 5.4901,                 1.9007,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                 1.2971,                 4.7986,                 1.5697,                      0,                      0,                      0,                      0,                      2,                 5.4901,                 1.9007,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                 1.2842,                  4.751,                 1.4643,                      0,                      0,                      0,                      0,                 1.9791,                 5.4884,                 1.8506,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                 1.2233,                 4.7565,                 1.3994,                      0,                      0,                      0,                      0,                 1.9791,                 5.4884,                 1.8506,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                 1.3903,                 4.6974,                 1.6048,                      0,                      0,                      0,                      0,                 1.9791,                 5.4884,                 1.8506,             2.9812e-05,             2.9812e-05,             2.9812e-05
